Obra,Status,Ejecución física,Ejecución financiera,Estado,Municipio,Dirección,Personas afectadas,Ente responsable,Funcionario responsable,Empresa contratista,Valor total de la obra,Obra financiada por FONDEN,Monto comprometido,Fecha estimada de inicio,Fecha real de inicio,Fecha culminación estimada de la obra,Fecha de paralización
AEROPUERTO INTERNACIONAL DE BARINAS,Paralizada,,S/I,Estado Barinas,Cruz Paredes,"Sector Tinajas- Chorrerón, Caserío Chorreón, a un km de la autopista José Antonio Páez",Más de 1.000.001,Ministerio de Infraestructura,Isidro Rondón,Consorcio de Vialidad Sucre y Alba Bolivariana (Convialba),70000000000000000,Si,"USD 46.319.854,58",2008,S/I,2011 - 2013,S/I
AMPLIACIÓN Y MEJORAS DEL AEROPUERTO JACINTO LARA,Paralizada,30%,S/I,Estado Lara,Iribarren,"2JWR+C6F, Avenida La Landaeta, Barquisimeto 3001",Más de 1.000.001,Bolivariana de Aeropuertos S.A. (BAER) / Ministerio de Transporte Acuático y Aéreo,Alcides Montilla Marín,S/I,46507936500000000,S/I,S/I,2014,2014,2016,S/I
ASTILLERO NAVAL NORORIENTAL «ASTIALBA»,Paralizada,"18,81%",S/I,Estado Sucre,Cruz Salmerón Acosta,Península de Araya,Entre 100.001 y 1.000.000,S/I,S/I,Andrade Gutiérrez C.A.,1290000000000000000,S/I,S/I,2005,S/I,2015,S/I
CONSTRUCCIÓN DE LÍNEA 2 DEL METRO DE MARACAIBO,Con recursos desembolsados - no iniciada,,S/I,Estado Zulia,Maracaibo/ San Francisco,Línea 2: Recorrido desde el este hacia el oeste de la ciudad.,Entre 5.001 y 100.000,"Metro de Maracaibo, C.A. / Ministerio de Transporte Terrestre",Haiman El Troudi,S/I,,Si,"USD 252.960.450,61",Nunca se iniciaron las obras,S/I,"Tentativamente, en 2015 (proyecto original de la L2).",S/I
FERROCARRIL PUERTO CABELLO – BARQUISIMETO (REHABILITACIÓN),Con recursos desembolsados - no iniciada,85%,S/I,Estado Carabobo,Puerto Cabello/ Iribarren,S/I,Más de 1.000.001,Instituto de Ferrocarriles del Estado (IFE),S/I,Yankuang Group Corporation LTD/ Ferroviaria Latinoamericana (Ferrolasa),,Si,"USD 268.120.235,7",2004,S/I,2008,S/I
"FERROCARRIL CENTRO-SUR, TRAMO CHAGUARAMAS, LAS MERCEDES DEL LLANO, CABRUTA",Paralizada,"20,83%",S/I,Estado Guárico,Chaguaramas/ Las Mercedes del Llano,"Estaciones: Chaguaramas, Las Mercedes, El Mejo, Santa Rita, Arrecife y Cabruta",Entre 100.001 y 1.000.000,Instituto de Ferrocarriles del Estado (IFE),Franklin Pérez,Consorcio Grupo Contuy / Astaldi S.P.A / Ghella Spa Sucursal Venezuela,75006120000000000,S/I,S/I,2008,S/I,2013,S/I
"FERROCARRIL CENTRO-SUR, TRAMO SAN JUAN DE LOS MORROS, DOS CAMINOS, CALABOZO, SAN FERNANDO DE APURE",Paralizada,"17,25%",S/I,Estado Apure,San Fernando de Apure/ San Juan de los Morros/ Dos Caminos/ Calabozo,San Fernando de Apure,Más de 1.000.001,Instituto de Ferrocarriles del Estado (IFE),Franklin Pérez,Consorcio Grupo Contuy / Astaldi S.P.A / Ghella Spa Sucursal Venezuela,15001223990000000715194368,Si,"USD 291.836.681,53",2008,S/I,2013,S/I
FERROCARRIL NORTE LLANERO EMILIO ARÉVALO CEDEÑO,Paralizada,"28,67%",S/I,Estado Anzoátegui,Aragua de Barcelona/ Anaco/ Valle de la Pascua/ Tinaco/ El Pao/ Dos Caminos/ El Sombrero/ Tucupido/ Zaraza/ Chaguaramas,N/A,Más de 1.000.001,Instituto de Ferrocarriles del Estado (IFE),Franklin Pérez,China Railway International Group (CREC) /China Railway Engineering Corporation / China Railway Engineering Corporation Venezuela,80843169340000005343150080,S/I,S/I,2009,S/I,2012,S/I
LÍNEA 2 METRO DE VALENCIA,Paralizada,47%,S/I,Estado Carabobo,Valencia,Av. Bolívar norte,Entre 5.001 y 100.000,Ministerio de Transporte Terrestre,Haiman El Troudi,Consorcio Ghella Sogene Dragados FCC - Otipsa,92189478880000016388194304,Si,"USD  194.212.660,62",2007,Octubre 2011,S/I,2017
METRO CARACAS- GUARENAS- GUATIRE 1,Paralizada,"26,70%","56,99%",Estado Miranda,Ambrosio Plaza/ Zambrano,Guarenas-Guatire,Entre 100.001 y 1.000.000,"Metro de Caracas, C.A.",Gustavo González López,"Constructora Norberto Odebrecht, C.A.",49156262039999997687103488,Si,"USD 692.267.738,0",16-03-2007,16/03/2007,1era 31/12/ 2013 / 2da Sin información / 3er 05/11/2019,S/I
